Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity
1,1417,1,293,370,370,370,370
2,1943,1,566,372,380,370,372
3,1943,1,866,372,390,370,375
4,1943,2,955,372,390,370,377
5,1966,1,1022,378,402,370,381
6,1966,40,1168,378,408,370,385
7,2849,346,1358,413,428,372,400
8,2849,122,1333,413,439,378,410
9,2849,456,1470,413,448,378,416
10,2849,454,1524,413,459,378,420
11,3411,454,1495,432,477,378,431
12,3414,585,1484,432,502,378,445
13,3414,692,1573,432,522,378,459
14,4130,497,1676,452,551,394,478
15,4346,632,1771,452,575,394,492
16,4130,608,1710,452,576,394,496
17,4130,767,1948,452,608,394,498
18,5247,817,1963,447,638,396,504
19,4927,803,2092,447,679,407,519
20,4524,1031,2059,679,722,435,536
21,4623,713,2107,447,726,435,548
22,5228,622,2129,465,767,435,564
23,5688,809,2436,466,769,447,570
24,5981,837,2567,508,769,447,571
25,5716,705,2603,466,813,447,602
26,6765,706,2695,508,860,447,625
27,6358,706,2627,809,867,447,650
28,8072,726,2859,508,872,447,656
29,7642,795,2778,856,868,447,654
30,7642,1020,2906,856,933,447,688
31,7642,1031,2810,856,944,447,690
32,7642,720,2843,856,942,447,691
33,8180,1032,3083,806,939,447,695
34,8175,321,2988,806,1011,447,693
35,8175,1002,2983,806,1007,447,699
36,8180,1012,3143,806,1006,447,705
37,8175,268,2895,806,1007,447,709
38,8175,836,2960,806,1012,447,728
39,8175,821,3006,806,1021,447,730
40,8175,665,2990,806,1026,447,731
41,8175,824,3214,806,1011,447,728
42,8175,713,3095,806,990,447,719
43,8175,1031,3113,806,1064,447,737
44,8175,541,3315,806,1128,463,744
45,8175,1031,3272,806,1127,463,747
46,8180,997,3201,806,1125,463,764
47,8175,1031,3282,806,1135,463,772
48,8397,531,3461,516,1139,463,774
49,8397,913,3358,516,1226,463,785
50,8397,1006,3386,516,1237,463,757
51,8397,1012,3232,516,1238,463,766
52,8717,987,3435,545,1246,463,745
53,9430,778,3491,570,1217,463,741
54,9430,1031,3655,570,1226,463,746
55,9430,963,3806,570,1241,463,778
56,9430,1031,3402,570,1238,463,772
57,9430,753,3719,570,1227,463,776
58,9430,1031,3822,570,1228,463,779
59,9430,1031,3727,570,1228,463,785
60,9645,1031,3924,566,1239,463,789
61,9645,1031,3880,566,1224,463,787
62,9645,1031,3745,566,1224,463,799
63,9645,1031,3866,566,1234,463,801
64,9645,1032,3930,566,1231,463,803
65,9645,1026,3911,566,1246,463,802
66,9645,1095,3837,566,1233,484,810
67,9645,1031,3900,566,1319,516,848
68,9645,1031,3859,566,1319,516,845
69,9645,900,3780,566,1318,516,840
70,9645,1031,3880,566,1323,516,843
71,9645,1095,3906,566,1313,516,836
72,9645,689,3795,566,1327,516,846
73,9645,1032,3949,566,1317,516,816
74,9645,1095,3982,566,1326,516,823
75,9645,755,3944,566,1317,516,847
76,9645,978,3960,566,1230,516,817
77,9645,945,3766,566,1241,516,822
78,9645,1031,3761,566,1232,516,812
79,9645,1017,3842,566,1242,516,816
80,9645,1096,4112,566,1263,516,818
81,9645,1031,4003,566,1252,516,826
82,9645,1032,3960,566,1255,531,844
83,9645,813,4141,566,1257,531,847
84,9843,765,4054,640,1258,531,844
85,11063,837,4258,640,1254,531,835
86,9645,1031,4191,566,1265,531,836
87,9843,1098,4097,640,1254,531,848
88,9843,1031,3898,640,1258,531,848
89,9843,1031,4116,640,1272,531,848
90,9843,520,4347,640,1363,531,879
91,9843,1168,4075,640,1323,531,876
92,10802,1144,4357,640,1405,531,880
93,10495,1031,4445,561,1502,531,892
94,10495,1098,4175,561,1519,531,890
95,10495,1367,4405,561,1632,531,920
96,10495,1031,4341,561,1503,531,905
97,10802,1031,4275,640,1630,531,926
98,10802,1031,4304,640,1642,531,915
99,10802,1112,4170,640,1770,531,983
100,10495,1025,4211,561,1778,531,974
101,10802,1031,4246,640,1769,531,982
102,10495,683,4265,561,1929,531,1008
103,10495,1031,4511,561,1914,531,1009
104,11063,1032,4219,640,1933,531,1060
105,10802,1095,4627,640,1934,531,1057
106,11063,987,4374,640,1926,531,1037
107,11063,1031,4595,640,1946,531,1036
108,10802,769,4425,640,1924,531,1038
109,10495,1005,4654,561,2051,531,1048
110,10802,810,4506,640,2028,531,1026
111,11063,1031,4619,640,2048,531,1056
112,10495,1095,4205,561,2051,531,1040
113,11173,1031,4533,595,2051,531,1028
114,11173,876,4661,595,2041,531,991
115,11173,1031,4654,595,2056,531,994
116,11173,1031,4845,595,2212,531,1074
117,11173,1031,4488,595,2234,531,1063
118,11173,1223,4835,595,2239,531,1043
119,11173,1031,4596,595,2242,531,1043
120,11173,1324,4666,595,2245,531,1047
121,11173,1031,4482,595,2244,531,1051
122,11173,1031,4763,595,2297,531,1037
123,11173,1033,4915,595,2227,531,990
124,11173,1031,4630,595,2256,531,992
125,11173,1484,4839,595,2033,531,920
126,11173,836,4574,595,2043,531,923
127,11173,1031,4813,595,2073,531,918
128,11173,991,4907,595,2038,531,923
129,11173,1097,4755,595,2044,531,936
130,11173,1031,4604,595,2047,531,936
131,11173,1271,5099,595,2048,531,891
132,11173,812,4706,595,2253,550,969
133,11173,1096,4593,595,2066,550,931
134,11173,1031,4933,595,2065,550,907
135,11173,1031,4887,595,2046,550,908
136,11173,1097,5282,595,2042,550,887
137,11173,1098,4939,595,2040,550,896
138,11173,1031,4927,595,2044,550,896
139,11543,1031,4979,796,2039,550,898
140,11543,663,5043,796,2053,550,889
141,11543,837,4775,796,2042,550,891
142,12233,1336,5413,845,2045,550,887
143,12233,804,5237,845,2059,550,894
144,12233,1031,4889,845,2054,550,898
145,12233,1031,5100,845,2048,550,901
146,12233,1208,5312,845,2063,550,883
147,12233,1012,5370,845,2057,550,884
148,12233,1034,5118,845,2039,550,889
149,12233,1031,4990,845,2049,550,890
150,11322,1147,5078,975,2054,550,887
151,12233,1004,5121,845,2082,550,893
152,12233,1031,4992,845,2053,550,892
153,12233,1079,5450,845,2051,550,895
154,12233,952,5446,845,2053,550,872
155,11371,1223,5346,785,2044,550,880
156,12233,1384,5259,845,2070,550,882
157,12233,1032,5452,845,2036,550,881
158,12233,1031,5351,845,2043,550,885
159,12233,1031,4990,845,2060,550,887
160,12233,1257,5384,845,2052,550,887
161,12233,1031,5199,845,2055,550,897
162,12233,1224,5512,845,2053,550,899
163,12233,1031,5581,845,1263,550,854
164,12233,1031,5636,845,1263,550,857
165,12233,1223,5237,845,1267,550,857
166,12233,1016,5295,845,1264,550,855
167,12233,1097,5422,845,1352,550,859
168,12233,1266,5229,845,1351,550,864
169,12233,1198,5295,845,1337,550,864
170,11371,1113,5336,785,1352,550,863
171,12233,1127,5739,845,1344,550,863
172,12233,1031,5561,845,1352,550,864
173,12233,1333,5427,845,1350,550,868
174,12233,1261,5519,845,1339,550,885
175,12233,1147,5629,845,1346,550,886
176,12233,1096,5256,845,1354,550,885
177,12233,993,5522,845,1352,550,885
178,12233,1226,5420,845,1354,550,886
179,12233,1098,5627,845,1334,550,884
180,12233,1096,5970,845,1348,550,885
181,12233,1034,5790,845,1342,550,881
182,12233,1031,5361,845,1338,550,881
183,12233,1033,5574,845,1178,550,858
184,12233,1033,5684,845,1195,550,859
185,12233,764,5355,845,1182,550,858
186,12233,1098,5447,845,1187,550,874
187,12233,1031,5769,845,1187,550,891
188,12233,1032,5471,845,1192,550,888
189,12233,1033,5095,845,1262,550,920
190,12233,1033,5583,845,1264,550,933
191,12233,1031,5586,845,1264,550,921
192,12233,1004,5593,845,1261,550,941
193,12233,1098,5875,845,1263,550,942
194,12233,1032,5682,845,1258,550,945
195,12233,1031,6398,845,1260,550,945
196,12233,1290,5469,845,1369,595,988
197,12233,1546,5929,845,1484,595,1009
198,12233,1033,5820,845,1469,595,988
199,12233,1434,6035,845,1475,595,989
200,12233,1096,5823,845,1592,595,1021
201,12233,1031,5910,845,1580,595,1033
202,12233,1007,6037,845,1731,595,1052
203,12233,285,6172,845,1715,595,1065
204,12233,1405,6391,845,1604,595,1055
205,12233,1032,6208,845,1607,595,1055
206,12233,1096,6231,845,1590,595,1032
207,12233,1762,6574,845,1595,595,1071
208,12233,1033,6461,845,1596,595,1072
209,12233,1176,6447,845,1609,595,1060
210,12233,1781,6507,845,1582,595,1069
211,12233,1008,6543,845,1589,595,1086
212,12233,1224,6432,845,1705,595,1091
213,12233,1033,6511,845,1703,595,1092
214,11998,1401,6118,1075,1597,595,1072
215,11998,1306,6484,1075,1599,595,1072
216,12233,1472,6470,845,1585,595,1072
217,12233,1352,6120,845,1591,595,1061
218,12233,926,6502,845,1604,595,1062
219,12233,1402,6270,845,1582,595,1060
220,12233,1098,6337,845,1591,595,1061
221,11998,1096,6112,1075,1600,595,1063
222,12233,1032,6273,845,1592,595,1061
223,12233,1592,6590,845,1616,595,1073
224,12233,427,6502,845,1642,595,1130
225,11998,1033,6462,1075,1649,595,1131
226,12233,1249,6422,845,1645,595,1129
227,12233,1719,6691,845,1637,595,1135
228,12233,1531,6543,845,1652,595,1133
229,12233,1034,6271,845,1676,595,1176
230,12233,1437,6503,845,1689,595,1175
231,12233,1223,6663,845,1841,595,1205
232,12233,1098,6644,845,1681,595,1165
233,12233,1288,6739,845,1646,595,1145
234,12233,1506,6377,845,1643,595,1148
235,12390,1272,6731,1150,1649,595,1152
236,12390,1034,6532,1150,1651,595,1167
237,12390,1226,6563,1150,1672,595,1166
238,12390,1033,6901,1150,1635,595,1198
239,12390,1991,6497,1150,1640,595,1203
240,12390,1751,6810,1150,1703,595,1210
241,12390,1149,6373,1150,1664,595,1176
242,12390,672,7127,1150,1646,595,1192
243,12390,1328,6504,1150,1660,595,1199
244,12390,1033,6766,1150,1648,595,1221
245,12390,1777,6747,1150,1667,595,1247
246,12390,1464,6597,1150,1630,595,1248
247,12390,1767,6638,1150,1644,595,1248
248,12390,1095,6998,1150,1630,595,1249
249,12390,1646,6993,1150,1688,595,1291
250,12390,1177,6743,1150,1636,595,1287
251,12390,1511,6890,1150,1643,595,1284
252,12390,1097,7001,1150,1640,595,1285
253,12390,1823,6925,1150,1645,595,1284
254,12390,1497,6908,1150,1660,595,1285
255,12390,1560,6602,1150,1660,595,1285
256,12390,1415,6875,1150,1639,595,1285
257,12390,1287,6858,1150,1656,595,1285
258,12390,1287,6507,1150,1644,595,1284
259,12390,1033,6527,1150,1660,595,1285
260,12390,1580,7319,1150,1649,595,1287
261,12390,1209,7119,1150,1644,595,1288
262,12390,1978,7450,1150,1668,595,1288
263,12390,1401,7370,1150,1649,595,1292
264,12390,1176,6797,1150,1640,595,1291
265,12390,1095,6606,1150,1654,595,1293
266,12390,1288,7186,1150,1641,595,1293
267,12390,1033,6750,1150,1655,595,1292
268,12390,1341,6819,1150,1653,845,1340
269,12390,1031,6608,1150,1602,845,1315
270,12390,1522,7038,1150,1662,845,1319
271,12390,1032,6979,1150,1709,845,1358
272,12390,1306,7276,1150,1725,845,1324
273,12390,1273,7018,1150,1702,845,1343
274,12390,1652,7134,1150,1602,845,1305
275,12390,1031,6936,1150,1603,845,1306
276,12390,1803,7488,1150,1608,845,1320
277,12390,1225,6911,1150,1609,845,1308
278,12390,1031,6653,1150,1618,845,1318
279,12390,1337,7008,1150,1621,845,1317
280,12390,1351,6838,1150,1669,845,1341
281,13061,1082,7460,1238,1685,845,1343
282,12768,1225,7092,1238,1687,845,1333
283,13061,1625,7314,1238,1672,845,1333
284,12769,1531,7473,1238,1676,845,1306
285,13061,1515,7575,1238,1672,845,1306
286,13061,1575,7158,1238,1661,845,1322
287,13061,1726,6840,1238,1673,845,1341
288,13061,1703,7312,1238,1714,845,1347
289,13061,1264,7234,1238,1703,845,1351
290,13061,1033,6929,1238,1719,845,1349
291,12769,1785,6653,1238,1712,845,1349
292,13061,1081,7064,1238,1720,845,1336
293,13061,1623,7325,1238,1724,845,1335
294,13061,1224,7599,1238,1714,845,1334
295,13061,1720,7482,1238,1717,845,1367
296,13061,1417,7523,1238,1731,845,1367
297,12523,1033,7408,1221,1724,845,1366
298,12523,1225,7442,1221,1870,845,1374
299,12523,1768,7790,1221,1904,845,1406
300,12523,1955,7467,1221,1874,845,1413
301,12523,1502,7259,1221,1880,845,1414
302,12523,1417,6863,1221,1880,845,1414
303,12523,1734,7076,1221,1867,845,1413
304,12523,1351,7009,1221,1881,845,1413
305,12523,1768,7301,1221,1878,845,1412
306,12523,1899,7279,1221,1880,845,1418
307,12523,1033,7664,1221,1881,845,1418
308,12523,1749,7451,1221,1866,845,1400
309,12523,1729,7128,1221,1865,845,1398
310,12523,1847,7585,1221,1862,845,1401
311,12523,1034,7326,1221,1866,845,1409
312,12523,1447,7242,1221,1947,845,1415
313,12523,1925,7187,1221,1921,845,1415
314,12523,1529,7587,1221,1924,845,1388
315,12523,1856,7072,1221,1939,845,1406
316,12523,1034,7336,1221,1938,845,1398
317,12523,1036,6869,1221,1756,845,1384
318,12523,1431,7213,1221,1777,845,1386
319,12523,1338,7599,1221,1759,845,1383
320,12523,1393,7170,1221,1756,845,1385
321,12636,1098,7611,1397,1776,845,1387
322,12956,1769,6934,1397,1768,845,1384
323,12636,1034,7526,1397,1879,845,1396
324,12956,1882,7217,1397,1871,1075,1428
325,13398,1288,7410,1408,1893,1075,1429
326,13398,1297,7164,1408,1866,1075,1432
327,13398,1695,7883,1408,1865,1075,1450
328,13398,1114,7717,1408,1871,1075,1479
329,13398,1274,7919,1408,1882,1075,1478
330,13398,1530,7398,1408,1883,1075,1484
331,13398,1888,7729,1408,1882,1075,1485
332,13398,1639,8238,1408,1890,1075,1485
333,13398,1745,7668,1408,1875,1075,1484
334,13398,1516,7872,1408,1882,1075,1496
335,13398,1540,8149,1408,1870,1075,1495
336,13398,2599,8103,1408,1874,1075,1497
337,13398,1224,7956,1408,1874,1075,1500
338,13398,1763,8275,1408,1927,1075,1509
339,13398,1034,7762,1408,1913,1075,1509
340,13398,1970,8123,1408,1900,1075,1526
341,13398,2276,8043,1408,1919,1075,1525
342,13398,1775,7784,1408,1883,1075,1511
343,13398,1033,8149,1408,1883,1075,1513
344,13398,1031,7787,1408,1887,1075,1512
345,13398,1719,8111,1408,1874,1075,1510
346,13398,2091,8434,1408,1890,1075,1513
347,13398,1904,7646,1408,1881,1075,1513
348,13398,1948,7717,1408,1899,1075,1518
349,13398,2087,8080,1408,1909,1075,1518
